provider_location_guid,loc_name,loc_admin_street1,loc_admin_street2,loc_admin_city,loc_admin_state,loc_admin_zip,web_address,loc_phone,latitude,longitude,count
0005060d-087f-4529-ab56-d138e0d74686,TLC Medical Arts Pharmacy,1500 W WEST COVINA PKWY STE 100,NA,West Covina,CA,91790,https://book-ch.appointment-plus.com/d00jq010,(626) 338-7233,34.06926,-117.939433,4
00209048-635c-40c7-baf0-853bf14dd13b,"CVS Pharmacy, Inc. #09646",42155 WASHINGTON ST.,NA,PALM DESERT,CA,92211,https://www.cvs.com/store-locator/details-directions/009646,(760) 345-3259,33.742298,-116.305478,1
00249884-5b2d-4773-992b-ad23c35d3c19,crown city rehabilitation,2693 E. Washington blvd.;,NA,pasadena,CA,91107,NA,(626) 798-8600,34.16916,-118.095061,1
002d7161-bc6e-46b4-b493-5ce7ed3d8fac,Walmart Inc #10-2288,80 Rio Rancho Rd,NA,Pomona,CA,91766-7013,https://www.walmart.com/store/2288,9096204602,34.029248,-117.757678,3
0036d5b4-98f5-4436-936f-bf7e3535b7b6,Anaheim Health Center,"303 W. Lincoln Ave., #105;",NA,Anaheim,CA,92805,https://www.plannedparenthood.org/planned-parenthood-orange-san-bernardino,(714) 922-4100,33.835257,-117.917918,1
00425e51-bbab-4350-8ad9-a9b9fb6615f7,Walmart Inc #10-1914,4210 Highland Ave,NA,Highland,CA,92346-2742,https://www.walmart.com/store/1914,9094258846,34.137753,-117.194767,2
004b658a-d3c1-4743-8c66-871fe8e55bd4,Walgreens Co. #15296,2262 MARKET ST,-,SAN FRANCISCO,CA,94114-1508,https://www.walgreens.com,415-255-0101,37.765121,-122.432369,2
004c20f1-c669-4f85-bb17-a211fc6a6236,Rancho Springs Outpatient Pharmacy,25485 Medical Center Dr #110;,NA,Murrieta,CA,92562,https://myturn.ca.gov?config=c05251a1-014d-42cb-9dd9-b7d38ffb107a,(951) 698-4505,33.55716,-117.184036,3
00564050-0ca9-4a5d-8ce6-03dbddbc71ee,"CVS Pharmacy, Inc. #16356",1980 SANTA ROSA AVE,NA,SANTA ROSA,CA,95407,https://www.cvs.com/store-locator/details-directions/016356,(707) 575-0982,38.417287,-122.708784,1
005a3f14-f28b-417c-9e39-25dedfacd161,Walgreens Co. #9486,18296 COLLIER AVE,-,LAKE ELSINORE,CA,92530-2754,https://www.walgreens.com,951-471-2132,33.690836,-117.339901,1
0081c2fd-0d01-43f7-b677-bf820837cf4a,Ralphs Pharmacy #70300120,1413 HAWTHORNE BLVD,NA,REDONDO BEACH,CA,90278,www.krogerhealth.com,(310) 370-8784,33.867022,-118.353687,1
00b34390-aa2f-4a76-9d48-7ea7f643309f,"CVS Pharmacy, Inc. #17629",125 SHORELINE PKWY,NA,SAN RAFAEL,CA,94901,https://www.cvs.com/store-locator/details-directions/017629,(415) 299-6113,37.955513,-122.491478,1
00b9e8a4-ab22-4d8a-8f87-f7db254c6037,"CVS Pharmacy, Inc. #17377",27100 EUCALYPTUS AVE,NA,MORENO VALLEY,CA,92555,https://www.cvs.com/store-locator/details-directions/017377,(951) 571-8015,33.936198,-117.188326,1
00be420e-9a70-4aae-a685-61cf41c6d636,Rite Aid #RA105922,3848 CASTRO VALLEY BOULEVARD,NA,CASTRO VALLEY,CA,94546-4599,https://www.riteaid.com,510-886-3341,37.694295,-122.067943,2
00ee5134-ab76-4286-a25e-69d42c0fd53d,Walgreens Co. #1870,12109 APPLE VALLEY RD,-,APPLE VALLEY,CA,92308-6702,https://www.walgreens.com,760-240-5896,34.471743,-117.241615,1
00f16aeb-7a3b-4ef0-b30a-cc19719b6f69,"CVS Pharmacy, Inc. #09785",2006 WEST AVENUE J,NA,LANCASTER,CA,93536,https://www.cvs.com/store-locator/details-directions/009785,(661) 945-2729,34.687945,-118.166118,1
00f97568-d263-4fbd-83d4-6d5a1bdc3c92,Walmart Inc #10-5426,40580 Albrae St,NA,Fremont,CA,94538-2448,https://www.walmart.com/store/5426,5104408060,37.520185,-121.985523,3
00fc9736-bb33-43c1-b68e-2c7c3b849052,"CVS Pharmacy, Inc. #16439",1150 EL CAMINO REAL,NA,SAN BRUNO,CA,94066,https://www.cvs.com/store-locator/details-directions/016439,(650) 825-2115,37.636525,-122.416818,1
011b0091-4efc-4afb-8784-07f7d8427acc,Walgreens Co. #12573,16201 HARBOR BLVD,-,FOUNTAIN VALLEY,CA,92708-1371,https://www.walgreens.com,714-839-3496,33.728003,-117.921513,1
0123d1e7-38f7-4960-9296-ec1a2054e924,LUCKY PHCY #773  RX #117145,3705 EL CAMINO REAL,LUCKY PHCY #773  RX,SANTA CLARA,CA,95051,https://savemartluckysched.rxtouch.com/smsched/program/covid19/patient/advisory,866-420-8296,37.353806,-121.997929,2
0126a341-624c-4bec-a472-2c7434f575c6,Walgreens Co. #7403,15740 WOODRUFF AVE,-,BELLFLOWER,CA,90706-4018,https://www.walgreens.com,562-867-5441,33.890045,-118.116748,1
0130b2da-b291-47a7-9083-b6c2a7fce4d2,Mission City Community Network Inc.,15201 ELEVENTH ST STE 300,NA,Victorville,CA,92395,NA,(818) 895-3100,34.527073,-117.291847,3
01365d77-8ddc-4456-9c6c-f6cd0dc74b88,SIMI PHARMACY #MS1000199,1357 E LOS ANGELES AVE C,NA,SIMI VALLEY,CA,93065,NA,805-582-7474,34.273711,-118.773323,3
013c034b-8735-48cc-a265-05f2e837979d,SAFEWAY PHARMACY #768,20629 REDWOOD ROAD,NA,Castro Valley,CA,94546,https://www.safeway.com/vaccinations/home,510-538-0268,37.696283,-122.074924,2
014efbae-554d-4613-b230-707da020e1b0,Rite Aid #RA105983,6215 SANTA TERESA BOULEVARD,NA,SAN JOSE,CA,95119-1436,https://www.riteaid.com,408-227-2816,37.235846,-121.802788,2
01597536-8e96-4cdf-ac65-3e683035a3f7,Dizon Medicine Urgent Care,7035 N MAPLE AVE STE 102A,NA,Fresno,CA,93720,NA,5592992997,36.838243,-119.747354,2
0161a769-b9b2-47bc-ab41-bb403147b0c7,VONS PHARMACY #2101,1046 Coast Village Rd Suite B,NA,Montecito,CA,93108,https://www.vons.com/vaccinations/home,805-969-4728,34.421967,-119.650188,2
01995d18-ccc6-4064-9525-87016b852f3f,SAFEWAY PHARMACY #1293,2341 So Winchester Blvd,NA,Campbell,CA,95008,https://www.safeway.com/vaccinations/home,408-364-6882,37.279953,-121.95109,2
01ac1abd-26a5-4bdd-9a45-43ae66e7ea7e,Walgreens Co. #7015,20901 DEVONSHIRE ST,-,CHATSWORTH,CA,91311-2313,https://www.walgreens.com,818-341-4339,34.257721,-118.589236,2
01b109ec-4c2c-4619-9bac-e3b8099f2445,SAUGUS DRUGS,27641 Bouquet Canyon Road,NA,Santa Clarita,CA,91350,http://WWW.SAUGUSDRUGS.COM,(661) 296-3980,34.444104,-118.511274,1
01bf3939-c9d4-4825-b756-47b8baabf1d0,Walgreens Co. #15469,105 E GLENOAKS BLVD,-,GLENDALE,CA,91207-2007,https://www.walgreens.com,818-745-1173,34.159828,-118.254261,1
01c506ef-8956-4380-9591-f659542f8a8a,OLYMPIC GERHART PHARMACY #MS1000543,5724 E OLYMPIC BLVD,NA,COMMERCE,CA,90022,https://www.olympicdrug.com,(323) 722-1515,34.01358,-118.147263,3
01d3e4b6-b1ac-4a80-8779-d91ed47dc65f,United Health Centers - Tuolumne,2630 Tuolumne St BLDG A,NA,Fresno,CA,93721,https://www.unitedhealthcenters.org/appointment-request,(800) 842-8554,36.742302,-119.787483,3
01f2c79d-4f11-43d6-95a2-0307c5909d83,"CVS Pharmacy, Inc. #17631",735 S FIGUEROA ST,NA,LOS ANGELES,CA,90017,https://www.cvs.com/store-locator/details-directions/017631,(213) 330-4544,34.04917,-118.260851,1
01f6d252-b5a8-4c99-9e24-add30d8df470,"Tiburcio Vasquez Health Center Inc,",22331 Mission Blvd;,NA,Hayward,CA,94541,http://tvhc.org/vaccine,(510) 471-5880,37.674236,-122.087061,2
020b68c8-2a1b-4021-bd12-d61bd342c6c2,POLY-MED PHARMACY #MS1001048,17313 ROSCOE BLVD,NA,NORTHRIDGE,CA,91325,http://POLYMEDPHARMACY.COM,(747) 235-3535,34.221386,-118.510491,2
0215fe8c-32ec-4290-9d44-800a1221b5d0,SAV-ON PHARMACY #3559,74590 HIGHWAY 111,NA,Palm Desert,CA,92260,https://www.albertsons.com/vaccinations/home,760-346-2573,33.722696,-116.36387,1
021b7425-3034-4c21-b159-b74196ad413c,PAVILLIONS PHARMACY #1911,21181 NEWPORT COAST DRIVE,NA,NEWPORT COAST,CA,92657,https://www.pavilions.com/vaccinations/home,949-718-4986,33.606695,-117.827754,2
022b98db-f90f-4b56-8984-1bb8a9adcd56,"CVS Pharmacy, Inc. #09242",27750 SANTA MARGARITA PKWY,NA,MISSION VIEJO,CA,92691,https://www.cvs.com/store-locator/details-directions/009242,(949) 770-9898,33.650854,-117.645864,1
023c527c-18eb-4843-a689-d17e6f45d61f,Costco Wholesale Corporation #1010,14555 VALLEY CENTER DRIVE,NA,VICTORVILLE,CA,92395,https://www.costco.com/pharmacy/adult-immunization-program.html,7605249911,34.515637,-117.317941,2
02573ac8-d26c-4946-a833-9582d41bb90a,Plumas County Public Health Agency,270 County Hospital Road;ste 111,NA,Quincy,CA,95971,NA,5302836330,39.952386,-120.964371,3
025a1501-9208-430e-a46d-3c0a32a58a5b,"CVS Pharmacy, Inc. #09697",23841 MALIBU ROAD,NA,MALIBU,CA,90265,https://www.cvs.com/store-locator/details-directions/009697,(310) 456-9645,34.033972,-118.694926,1
02813f32-dd3f-4432-90a4-a31bb0643160,Chaparral Medical Group,9616 Archibald Ave;,NA,Rancho Cucamonga,CA,91730,http://www.healthcareavenues.org/vaccine,(909) 623-2100,34.078984,-117.593881,3
029b71c8-bd29-404a-b7f2-7943d4e22142,Rite Aid #RA105457,4046 SOUTH CENTINELA AVENUE,NA,LOS ANGELES,CA,90066-4907,https://www.riteaid.com,310-391-0255,33.998502,-118.428459,2
02a77e36-37fe-4bc2-b9a4-190ab8e34541,Sams Club #10-4767,39940 10Th St W,NA,Palmdale,CA,93551-3002,https://www.samsclub.com/club/4767,6615759200,34.60795,-118.145183,2
02b174fd-5afc-4c60-bca1-0c476fa53f53,Walgreens Co. #10002,1418 E PROSPERITY AVE,-,TULARE,CA,93274-8054,https://www.walgreens.com,559-684-7963,36.226555,-119.325844,2
02babef0-f864-4e7b-b7ec-56f115c98169,"CVS Pharmacy, Inc. #09730",2141 SOUTH HACIENDA BOULEVARD,NA,HACIENDA HEIGHTS,CA,91745,https://www.cvs.com/store-locator/details-directions/009730,(626) 330-8775,33.995002,-117.969107,1
02c71c84-5dd2-408e-9385-f1d1cc5fa594,Walmart Inc #10-5643,421 W Esplanade Dr,NA,Oxnard,CA,93036-1298,https://www.walmart.com/store/5643,8056042082,34.237046,-119.178766,3
02cf841e-5c26-48da-91bc-3026e264ed1c,Costco Wholesale Corporation #475,1600 EL CAMINO REAL,NA,S. SAN FRANCISCO,CA,94080,https://www.costco.com/pharmacy/adult-immunization-program.html,6507573002,37.66512,-122.448493,2
02dff378-db16-4fe1-910f-f571c50a6301,Zen Apothecary #5667970,420 N MAIN ST STE 105,NA,Corona,CA,92878,NA,(951) 475-7870,33.885482,-117.566272,1
02ea5259-f342-4096-a0bf-57b7f0a5e25b,"CVS Pharmacy, Inc. #09679",1485 E. VALLEY BLVD.,NA,ALHAMBRA,CA,91801,https://www.cvs.com/store-locator/details-directions/009679,(626) 289-5075,34.08056,-118.108885,1
02ebad09-2b93-4d96-98c9-c8c1917f479e,"CVS Pharmacy, Inc. #11295","1982 OLD MISSION DRIVE, BUILDING B",NA,SOLVANG,CA,93463,https://www.cvs.com/store-locator/details-directions/011295,(805) 691-6139,34.598721,-120.129274,1
02feccc0-7091-4869-869a-22da83edae71,Costco Wholesale Corporation #455,12700 DAY STREET,NA,MORENO VALLEY,CA,92553,https://www.costco.com/pharmacy/adult-immunization-program.html,9516977737,33.93535,-117.276797,2
02ffac55-5d90-4cb8-a1e2-5c6619475465,Kern Medical - COVID Vaccine Clinic,1700 Mount Vernon Ave;,NA,Bakersfield,CA,93306,NA,6613262102,35.382935,-118.970533,3
03026b03-c8a9-442d-a4e1-6f762d484d68,"CVS Pharmacy, Inc. #09262",222 SARATOGA AVE,NA,SANTA CLARA,CA,95050,https://www.cvs.com/store-locator/details-directions/009262,(408) 247-7250,37.328614,-121.966596,1
030de7de-8d36-4dac-9036-26bf853831be,"CVS Pharmacy, Inc. #03951",305 S HIGHWAY 101,NA,SOLANA BEACH,CA,92075,https://www.cvs.com/store-locator/details-directions/003951,(858) 259-0340,32.988386,-117.271745,1
030e9318-2208-4512-a9d9-5b56ffb6d3da,"CVS Pharmacy, Inc. #08868",5020 WEST 190TH STREET,NA,TORRANCE,CA,90503,https://www.cvs.com/store-locator/details-directions/008868,(310) 370-5607,33.857585,-118.364305,1
